05/04/2022 12:08:05 Pilot control
05/04/2022 12:08:05 distance: 26.885537557487545
05/04/2022 12:08:06 Pilot control
05/04/2022 12:08:06 Pilot control
05/04/2022 12:08:06 distance: 26.879381291371477
05/04/2022 12:08:07 Pilot control
05/04/2022 12:08:07 Pilot control
05/04/2022 12:08:07 distance: 26.879381291371477
05/04/2022 12:08:08 Pilot control
05/04/2022 12:08:08 Pilot control
05/04/2022 12:08:08 distance: 26.9287944924184
05/04/2022 12:08:09 Pilot control
05/04/2022 12:08:09 Pilot control
05/04/2022 12:08:09 distance: 26.984361142720427
05/04/2022 12:08:10 Pilot control
05/04/2022 12:08:10 Pilot control
05/04/2022 12:08:10 distance: 27.0214781470549
05/04/2022 12:08:11 Pilot control
05/04/2022 12:08:11 Pilot control
05/04/2022 12:08:11 distance: 27.04933057897943
05/04/2022 12:08:12 Pilot control
05/04/2022 12:08:12 Pilot control
05/04/2022 12:08:12 distance: 27.09560764103816
05/04/2022 12:08:13 Pilot control
05/04/2022 12:08:13 Pilot control
05/04/2022 12:08:13 distance: 27.132606715921934
05/04/2022 12:08:14 Pilot control
05/04/2022 12:08:14 Pilot control
05/04/2022 12:08:14 distance: 27.166494804104477
05/04/2022 12:08:15 Pilot control
05/04/2022 12:08:15 Pilot control
05/04/2022 12:08:15 distance: 27.203520459714447
05/04/2022 12:08:16 Pilot control
05/04/2022 12:08:16 Pilot control
05/04/2022 12:08:16 distance: 27.21585342776022
05/04/2022 12:08:17 Pilot control
05/04/2022 12:08:17 Pilot control
05/04/2022 12:08:17 distance: 27.25289841763761
05/04/2022 12:08:18 Pilot control
05/04/2022 12:08:18 Pilot control
05/04/2022 12:08:18 distance: 27.333201520190702
05/04/2022 12:08:19 Pilot control
05/04/2022 12:08:19 Pilot control
05/04/2022 12:08:19 distance: 27.385721484940934
05/04/2022 12:08:20 Pilot control
05/04/2022 12:08:20 Pilot control
05/04/2022 12:08:20 distance: 27.49079848222384
05/04/2022 12:08:21 Pilot control
05/04/2022 12:08:21 Pilot control
05/04/2022 12:08:21 distance: 27.55578807844587
05/04/2022 12:08:22 Pilot control
05/04/2022 12:08:22 Pilot control
05/04/2022 12:08:22 distance: 27.620826651027553
05/04/2022 12:08:23 Pilot control
05/04/2022 12:08:23 Pilot control
05/04/2022 12:08:24 distance: 27.71058986983512
05/04/2022 12:08:25 Pilot control
05/04/2022 12:08:25 Pilot control
05/04/2022 12:08:25 distance: 27.815856344748067
05/04/2022 12:08:26 Pilot control
05/04/2022 12:08:26 Pilot control
05/04/2022 12:08:26 distance: 27.908642303099608
05/04/2022 12:08:27 Pilot control
05/04/2022 12:08:27 Pilot control
05/04/2022 12:08:27 distance: 27.983041028011378
05/04/2022 12:08:28 Pilot control
05/04/2022 12:08:28 Pilot control
05/04/2022 12:08:28 distance: 28.038644226352858
05/04/2022 12:08:29 Pilot control
05/04/2022 12:08:29 Pilot control
05/04/2022 12:08:29 distance: 28.066242255010593
05/04/2022 12:08:30 Pilot control
05/04/2022 12:08:30 Pilot control
05/04/2022 12:08:30 distance: 28.053717727216537
05/04/2022 12:08:31 Pilot control
05/04/2022 12:08:31 Pilot control
05/04/2022 12:08:31 distance: 28.047459993263878
05/04/2022 12:08:32 Pilot control
05/04/2022 12:08:32 Pilot control
05/04/2022 12:08:32 distance: 28.028704936120885
05/04/2022 12:08:33 Pilot control
05/04/2022 12:08:33 Pilot control
05/04/2022 12:08:33 distance: 28.022459305354314
05/04/2022 12:08:34 Pilot control
05/04/2022 12:08:34 Pilot control
05/04/2022 12:08:34 distance: 28.037919397508755
05/04/2022 12:08:35 Pilot control
05/04/2022 12:08:35 Pilot control
05/04/2022 12:08:35 distance: 28.053379805703656
05/04/2022 12:08:36 Pilot control
05/04/2022 12:08:36 Pilot control
05/04/2022 12:08:36 distance: 28.047135251221817
05/04/2022 12:08:37 Pilot control
05/04/2022 12:08:37 Pilot control
05/04/2022 12:08:37 distance: 28.05635249327004
05/04/2022 12:08:38 Pilot control
05/04/2022 12:08:38 Pilot control
05/04/2022 12:08:38 distance: 28.04089372549387
05/04/2022 12:08:39 Pilot control
05/04/2022 12:08:39 Pilot control
05/04/2022 12:08:39 distance: 27.997507110753137
05/04/2022 12:08:40 Pilot control
05/04/2022 12:08:40 Pilot control
05/04/2022 12:08:40 distance: 27.929459137721835
05/04/2022 12:08:41 Pilot control
05/04/2022 12:08:41 Pilot control
05/04/2022 12:08:41 distance: 27.870661520559764
05/04/2022 12:08:42 Pilot control
