29/03/2022 14:04:36 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:04:36 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:04:36 ChibiOS: 45395b6a
29/03/2022 14:04:36 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:44 Pilot control + Computer
29/03/2022 14:05:44 Pilot control + Computer
29/03/2022 14:05:44 Pilot control + Computer
29/03/2022 14:05:44 Pilot control + Computer
29/03/2022 14:05:44 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:45 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:46 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:47 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:48 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:49 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:50 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:51 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:52 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:53 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:54 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:55 Pilot control + Computer
29/03/2022 14:05:56 Pilot control + Computer
29/03/2022 14:05:56 Pilot control + Computer
29/03/2022 14:05:56 Pilot control + Computer
29/03/2022 14:05:56 Pilot control + Computer
29/03/2022 14:05:56 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:57 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:58 Pilot control + Computer
29/03/2022 14:05:59 Pilot control + Computer
29/03/2022 14:05:59 Pilot control + Computer
29/03/2022 14:05:59 Pilot control + Computer
29/03/2022 14:05:59 Pilot control + Computer
29/03/2022 14:05:59 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:00 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:01 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:02 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:03 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:04 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:05 Pilot control + Computer
29/03/2022 14:06:06 Pilot control + Computer
29/03/2022 14:06:06 Pilot control + Computer
29/03/2022 14:06:06 Pilot control + Computer
